DOI,TokensTitulo,TokensAbstract,Autores,Fecha,Seccion
10.48550./arXiv.2503.11652,"['bring', 'rear', 'camera', 'egocentric', 'human', 'pose', 'estimation']","['egocentric', 'human', 'pose', 'estimation', 'have', 'be', 'actively', 'study', 'use', 'camera', 'instal', 'front', 'head', 'mount', 'device', 'hmd', 'frontal', 'placement', 'be', 'optimal', 'only', 'option', 'task', 'such', 'hand', 'tracking', 'remain', 'unclear', 'same', 'hold', 'full', 'body', 'tracking', 'due', 'self', 'occlusion', 'limited', 'field', 'view', 'coverage', 'notably', 'even', 'state', 'art', 'method', 'often', 'fail', 'to', 'estimate', 'accurate', 'pose', 'many', 'scenario', 'such', 'hmd', 'user', 'tilt', 'head', 'upward', 'common', 'motion', 'human', 'activity', 'key', 'limitation', 'exist', 'hmd', 'design', 'be', 'neglect', 'back', 'body', 'potential', 'to', 'provide', 'crucial', 'reconstruction', 'cue', 'hence', 'paper', 'investigate', 'usefulness', 'rear', 'camera', 'hmd', 'design', 'full', 'body', 'tracking', 'also', 'show', 'simply', 'add', 'rear', 'view', 'frontal', 'input', 'be', 'not', 'optimal', 'exist', 'method', 'dependence', 'individual', 'joint', 'detector', 'effective', 'multi', 'view', 'integration', 'to', 'address', 'issue', 'propose', 'new', 'transformer', 'base', 'method', 'refine', 'joint', 'heatmap', 'estimation', 'multi', 'view', 'information', 'heatmap', 'uncertainty', 'thereby', 'improve', 'pose', 'tracking', 'moreover', 'introduce', 'two', 'new', 'large', 'scale', 'dataset', 'syn', 'rw', 'rear', 'view', 'evaluation', 'experiment', 'show', 'new', 'camera', 'configuration', 'back', 'view', 'provide', 'superior', 'support', 'pose', 'track', 'compare', 'only', 'frontal', 'placement', 'propose', 'method', 'achieve', 'significant', 'improvement', 'current', 'state', 'art', 'mpjpe', 'will', 'release', 'source', 'code', 'train', 'model', 'new', 'dataset', 'project', 'page', 'https', 'url']","Hiroyasu Akada, Jian Wang, Vladislav Golyanik, Christian Theobalt",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11651,"['vggt', 'visual', 'geometry', 'ground', 'transformer']","['present', 'vggt', 'feed', 'forward', 'neural', 'network', 'directly', 'infer', 'key', 'attribute', 'scene', 'include', 'camera', 'parameter', 'point', 'map', 'depth', 'map', 'point', 'track', 'one', 'few', 'hundred', 'view', 'approach', 'be', 'step', 'forward', 'computer', 'vision', 'model', 'have', 'typically', 'be', 'constrain', 'specialize', 'single', 'task', 'be', 'also', 'simple', 'efficient', 'reconstruct', 'image', 'one', 'second', 'still', 'outperform', 'alternative', 'require', 'post', 'processing', 'visual', 'geometry', 'optimization', 'technique', 'network', 'achieve', 'state', 'art', 'result', 'multiple', 'task', 'include', 'camera', 'parameter', 'estimation', 'multi', 'view', 'depth', 'estimation', 'dense', 'point', 'cloud', 'reconstruction', 'point', 'tracking', 'also', 'show', 'use', 'pretraine', 'vggt', 'feature', 'backbone', 'significantly', 'enhance', 'downstream', 'task', 'such', 'non', 'rigid', 'point', 'tracking', 'feed', 'forward', 'novel', 'view', 'synthesis', 'code', 'model', 'be', 'publicly', 'available', 'https', 'url']","Jianyuan Wang, Minghao Chen, Nikita Karaev, Andrea Vedaldi, Christian Rupprecht, David Novotny",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11647,"['recammaster', 'camera', 'control', 'generative', 'rendering', 'single', 'video']","['camera', 'control', 'have', 'be', 'actively', 'study', 'text', 'image', 'condition', 'video', 'generation', 'task', 'however', 'alter', 'camera', 'trajectory', 'give', 'video', 'remain', 'under', 'explore', 'importance', 'field', 'video', 'creation', 'be', 'non', 'trivial', 'due', 'extra', 'constraint', 'maintain', 'multiple', 'frame', 'appearance', 'dynamic', 'synchronization', 'to', 'address', 'present', 'recammaster', 'camera', 'control', 'generative', 'video', 're', 'render', 'framework', 'reproduce', 'dynamic', 'scene', 'input', 'video', 'novel', 'camera', 'trajectory', 'core', 'innovation', 'lie', 'harness', 'generative', 'capability', 'pre', 'train', 'text', 'video', 'model', 'simple', 'yet', 'powerful', 'video', 'conditioning', 'mechanism', 'capability', 'often', 'overlook', 'current', 'research', 'to', 'overcome', 'scarcity', 'qualified', 'training', 'datum', 'construct', 'comprehensive', 'multi', 'camera', 'synchronized', 'video', 'dataset', 'use', 'unreal', 'engine', 'be', 'carefully', 'curate', 'to', 'follow', 'real', 'world', 'filming', 'characteristic', 'cover', 'diverse', 'scene', 'camera', 'movement', 'help', 'model', 'generalize', 'wild', 'video', 'lastly', 'far', 'improve', 'robustness', 'to', 'diverse', 'input', 'meticulously', 'design', 'training', 'strategy', 'extensive', 'experiment', 'tell', 'method', 'substantially', 'outperform', 'exist', 'state', 'art', 'approach', 'strong', 'baseline', 'method', 'also', 'find', 'promising', 'application', 'video', 'stabilization', 'super', 'resolution', 'outpainte', 'project', 'page', 'https', 'url']","Jianhong Bai, Menghan Xia, Xiao Fu, Xintao Wang, Lianrui Mu, Jinwen Cao, Zuozhu Liu, Haoji Hu, Xiang Bai, Pengfei Wan, Di Zhang",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11633,"['see', 'see', 'glass', 'real', 'synthetic', 'datum', 'multi', 'layer', 'depth', 'estimation']","['transparent', 'object', 'be', 'common', 'daily', 'life', 'understand', 'multi', 'layer', 'depth', 'information', 'perceive', 'transparent', 'surface', 'object', 'be', 'crucial', 'real', 'world', 'application', 'interact', 'transparent', 'material', 'paper', 'introduce', 'layereddepth', 'first', 'dataset', 'multi', 'layer', 'depth', 'annotation', 'include', 'real', 'world', 'benchmark', 'synthetic', 'data', 'generator', 'to', 'support', 'task', 'multi', 'layer', 'depth', 'estimation', 'real', 'world', 'benchmark', 'consist', 'image', 'diverse', 'scene', 'evaluate', 'state', 'art', 'depth', 'estimation', 'method', 'reveal', 'struggle', 'transparent', 'object', 'synthetic', 'datum', 'generator', 'be', 'fully', 'procedural', 'capable', 'provide', 'training', 'datum', 'task', 'unlimited', 'variety', 'object', 'scene', 'composition', 'use', 'generator', 'create', 'synthetic', 'dataset', 'image', 'baseline', 'model', 'train', 'solely', 'synthetic', 'dataset', 'produce', 'good', 'cross', 'domain', 'multi', 'layer', 'depth', 'estimation', 'fine', 'tune', 'state', 'art', 'single', 'layer', 'depth', 'model', 'substantially', 'improve', 'performance', 'transparent', 'object', 'quadruplet', 'accuracy', 'benchmark', 'increase', 'image', 'validation', 'annotation', 'be', 'available', 'https', 'url']","Hongyu Wen, Yiming Zuo, Venkat Subramanian, Patrick Chen, Jia Deng",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11609,"['rethink', 'few', 'shot', 'adaptation', 'vision', 'language', 'model', 'two', 'stage']","['old', 'school', 'recipe', 'train', 'classifier', 'be', 'to', 'i', 'learn', 'good', 'feature', 'extractor', 'ii', 'optimize', 'linear', 'layer', 'atop', 'only', 'handful', 'sample', 'be', 'available', 'category', 'few', 'shot', 'adaptation', 'fsa', 'datum', 'be', 'insufficient', 'to', 'fit', 'large', 'number', 'parameter', 'render', 'above', 'impractical', 'be', 'especially', 'true', 'large', 'pre', 'train', 'vision', 'language', 'model', 'vlm', 'motivate', 'successful', 'research', 'intersection', 'parameter', 'efficient', 'fine', 'tuning', 'peft', 'fsa', 'work', 'start', 'analyze', 'learn', 'dynamic', 'peft', 'technique', 'train', 'few', 'shot', 'datum', 'only', 'subset', 'category', 'refer', 'base', 'class', 'show', 'such', 'dynamic', 'naturally', 'split', 'two', 'distinct', 'phase', 'i', 'task', 'level', 'feature', 'extraction', 'ii', 'specialization', 'available', 'concept', 'to', 'accommodate', 'dynamic', 'then', 'depart', 'adapter', 'base', 'method', 'tackle', 'fsa', 'differently', 'specifically', 'give', 'fix', 'computational', 'budget', 'split', 'i', 'learn', 'task', 'specific', 'feature', 'extractor', 'peft', 'ii', 'train', 'linear', 'classifier', 'top', 'call', 'scheme', 'two', 'stage', 'few', 'shot', 'adaptation', 'differently', 'established', 'method', 'scheme', 'enable', 'novel', 'form', 'selective', 'inference', 'category', 'level', 'test', 'time', 'only', 'novel', 'category', 'be', 'embed', 'adapt', 'text', 'encoder', 'embedding', 'base', 'category', 'be', 'available', 'classifier', 'result', 'fix', 'hyperparameter', 'two', 'setting', 'three', 'backbone', 'eleven', 'dataset', 'show', 'match', 'surpass', 'state', 'art', 'establish', 'method', 'degrade', 'significantly', 'setting']","Matteo Farina, Massimiliano Mancini, Giovanni Iacca, Elisa Ricci",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11601,"['advance', 'gaussian', 'splatte', 'editing', 'complementary', 'consensus', 'information']","['present', 'novel', 'framework', 'enhance', 'visual', 'fidelity', 'consistency', 'text', 'guide', 'gaussian', 'splatting', 'editing', 'exist', 'editing', 'approach', 'face', 'two', 'critical', 'challenge', 'inconsistent', 'geometric', 'reconstruction', 'multiple', 'viewpoint', 'particularly', 'challenge', 'camera', 'position', 'ineffective', 'utilization', 'depth', 'information', 'image', 'manipulation', 'result', 'texture', 'artifact', 'degrade', 'object', 'boundary', 'to', 'address', 'limitation', 'introduce', 'complementary', 'information', 'mutual', 'learning', 'network', 'enhance', 'depth', 'map', 'estimation', 'enable', 'precise', 'depth', 'condition', 'edit', 'preserve', 'geometric', 'structure', 'wavelet', 'consensus', 'attention', 'mechanism', 'effectively', 'align', 'latent', 'code', 'diffusion', 'denoising', 'process', 'ensure', 'multi', 'view', 'consistency', 'edit', 'result', 'extensive', 'experimentation', 'method', 'demonstrate', 'superior', 'performance', 'render', 'quality', 'view', 'consistency', 'compare', 'state', 'art', 'approach', 'result', 'validate', 'framework', 'effective', 'solution', 'text', 'guide', 'editing', 'scene']","Xuanqi Zhang, Jieun Lee, Chris Joslin, Wonsook Lee",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11579,"['vamba', 'understand', 'hour', 'long', 'video', 'hybrid', 'mamba', 'transformer']","['state', 'art', 'transformer', 'base', 'large', 'multimodal', 'model', 'lmms', 'struggle', 'to', 'handle', 'hour', 'long', 'video', 'input', 'quadratic', 'complexity', 'causal', 'self', 'attention', 'operation', 'lead', 'high', 'computational', 'cost', 'training', 'inference', 'exist', 'token', 'compression', 'base', 'method', 'reduce', 'number', 'video', 'token', 'often', 'incur', 'information', 'loss', 'remain', 'inefficient', 'extremely', 'long', 'sequence', 'paper', 'explore', 'orthogonal', 'direction', 'to', 'build', 'hybrid', 'mamba', 'transformer', 'model', 'vamba', 'employ', 'block', 'encode', 'video', 'token', 'linear', 'complexity', 'token', 'reduction', 'vamba', 'can', 'encode', 'more', 'frame', 'single', 'gpu', 'transformer', 'base', 'model', 'can', 'only', 'encode', 'frame', 'long', 'video', 'input', 'vamba', 'achieve', 'least', 'reduction', 'gpu', 'memory', 'usage', 'training', 'inference', 'nearly', 'double', 'speed', 'training', 'step', 'compare', 'transformer', 'base', 'lmms', 'experimental', 'result', 'demonstrate', 'vamba', 'improve', 'accuracy', 'challenging', 'hour', 'long', 'video', 'understand', 'benchmark', 'lvbench', 'prior', 'efficient', 'video', 'lmms', 'maintain', 'strong', 'performance', 'broad', 'spectrum', 'long', 'short', 'video', 'understanding', 'task']","Weiming Ren, Wentao Ma, Huan Yang, Cong Wei, Ge Zhang, Wenhu Chen",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11576,"['smoldocle', 'ultra', 'compact', 'vision', 'language', 'model', 'end', 'end', 'multi', 'modal', 'document', 'conversion']","['introduce', 'smoldocling', 'ultra', 'compact', 'vision', 'language', 'model', 'target', 'end', 'end', 'document', 'conversion', 'model', 'comprehensively', 'process', 'entire', 'page', 'generate', 'doctag', 'new', 'universal', 'markup', 'format', 'capture', 'page', 'element', 'full', 'context', 'location', 'exist', 'approach', 'rely', 'large', 'foundational', 'model', 'ensemble', 'solution', 'rely', 'handcraft', 'pipeline', 'multiple', 'specialized', 'model', 'smoldocle', 'offer', 'end', 'end', 'conversion', 'accurately', 'capture', 'content', 'structure', 'spatial', 'location', 'document', 'element', 'm', 'parameter', 'vision', 'language', 'model', 'smoldocle', 'exhibit', 'robust', 'performance', 'correctly', 'reproduce', 'document', 'feature', 'such', 'code', 'listing', 'table', 'equation', 'chart', 'list', 'more', 'diverse', 'range', 'document', 'type', 'include', 'business', 'document', 'academic', 'paper', 'technical', 'report', 'patent', 'form', 'significantly', 'extend', 'commonly', 'observe', 'focus', 'scientific', 'paper', 'additionally', 'contribute', 'novel', 'publicly', 'source', 'dataset', 'chart', 'table', 'equation', 'code', 'recognition', 'experimental', 'result', 'demonstrate', 'smoldocle', 'compete', 'other', 'vision', 'language', 'model', 'be', 'up', 'to', 'time', 'large', 'size', 'reduce', 'computational', 'requirement', 'substantially', 'model', 'be', 'currently', 'available', 'dataset', 'will', 'be', 'publicly', 'available', 'soon']","Ahmed Nassar, Andres Marafioti, Matteo Omenetti, Maksym Lysak, Nikolaos Livathinos, Christoph Auer, Lucas Morin, Rafael Teixeira de Lima, Yusik Kim, A. Said Gurbuz, Michele Dolfi, Miquel Farré, Peter W. J. Staar",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11571,"['rasa', 'replace', 'say', 'training', 'free', 'framework', 'audio', 'drive', 'universal', 'portrait', 'video', 'editing']","['portrait', 'video', 'editing', 'focus', 'modify', 'specific', 'attribute', 'portrait', 'video', 'guide', 'audio', 'video', 'stream', 'previous', 'method', 'typically', 'concentrate', 'lip', 'region', 'reenactment', 'require', 'train', 'specialized', 'model', 'to', 'extract', 'keypoint', 'motion', 'transfer', 'new', 'identity', 'paper', 'introduce', 'training', 'free', 'universal', 'portrait', 'video', 'editing', 'framework', 'provide', 'versatile', 'adaptable', 'editing', 'strategy', 'framework', 'support', 'portrait', 'appearance', 'editing', 'condition', 'change', 'first', 'reference', 'frame', 'as', 'well', 'lip', 'editing', 'condition', 'varied', 'speech', 'combination', 'be', 'base', 'unified', 'animation', 'control', 'uac', 'mechanism', 'source', 'inversion', 'latent', 'to', 'edit', 'entire', 'portrait', 'include', 'visual', 'drive', 'shape', 'control', 'audio', 'drive', 'speaking', 'control', 'inter', 'frame', 'temporal', 'control', 'furthermore', 'method', 'can', 'be', 'adapt', 'different', 'scenario', 'adjust', 'initial', 'reference', 'frame', 'enable', 'detailed', 'editing', 'portrait', 'video', 'specific', 'head', 'rotation', 'facial', 'expression', 'comprehensive', 'approach', 'ensure', 'holistic', 'flexible', 'solution', 'portrait', 'video', 'editing', 'experimental', 'result', 'show', 'model', 'can', 'achieve', 'more', 'accurate', 'synchronized', 'lip', 'movement', 'lip', 'edit', 'task', 'as', 'well', 'more', 'flexible', 'motion', 'transfer', 'appearance', 'edit', 'task', 'demo', 'be', 'available', 'https', 'url']","Tianrui Pan, Lin Liu, Jie Liu, Xiaopeng Zhang, Jie Tang, Gangshan Wu, Qi Tian",14/03/2025,Vision&Patrones
10.48550./arXiv.2503.11565,"['disentangle', 'object', 'centric', 'image', 'representation', 'robotic', 'manipulation']","['learn', 'robotic', 'manipulation', 'skill', 'vision', 'be', 'promising', 'approach', 'develop', 'robotic', 'application', 'can', 'generalize', 'broadly', 'real', 'world', 'scenario', 'such', 'many', 'approach', 'to', 'enable', 'vision', 'have', 'be', 'explore', 'fruitful', 'result', 'particularly', 'object', 'centric', 'representation', 'method', 'have', 'be', 'show', 'to', 'provide', 'well', 'inductive', 'bias', 'skill', 'learning', 'lead', 'improved', 'performance', 'generalization', 'nonetheless', 'show', 'object', 'centric', 'method', 'can', 'struggle', 'to', 'learn', 'simple', 'manipulation', 'skill', 'multi', 'object', 'environment', 'thus', 'propose', 'docir', 'object', 'centric', 'framework', 'introduce', 'disentangle', 'representation', 'object', 'interest', 'obstacle', 'robot', 'embodiment', 'show', 'approach', 'lead', 'state', 'art', 'performance', 'learn', 'pick', 'place', 'skill', 'visual', 'input', 'multi', 'object', 'environment', 'generalize', 'test', 'time', 'change', 'object', 'interest', 'distractor', 'scene', 'furthermore', 'show', 'efficacy', 'simulation', 'zero', 'shot', 'transfer', 'real', 'world']","David Emukpere, Romain Deffayet, Bingbing Wu, Romain Brégier, Michael Niemaz, Jean-Luc Meunier, Denys Proux, Jean-Michel Renders, Seungsu Kim",14/03/2025,Vision&Patrones
